id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
61,1132,175338,0.505762,tcp,noservice,FIN,10,8,620,354,33.612649,254,252,8826.286133,4903.492188,2,1,54.400111,66.98057,3721.068786,120.177727,255,3518776216,3453092386,255,0.09944,0.036895,0.062545,62,44,0,0,1,1,1,1,1,2,0,0,0,1,1,0,1
4,1995,172407,0.707922,tcp,http,FIN,10,8,808,1266,24.013946,62,252,8226.895508,12521.15332,2,2,78.658,89.82143,4170.260117,104.162359,255,1212376306,1496798619,255,0.131302,0.078354,0.052948,81,158,1,231,4,1,1,2,1,3,0,0,1,2,3,0,1
29,9668,134071,9E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,20,2,16,16,16,20,0,0,0,16,20,0,1
32,5027,5028,0.013553,tcp,noservice,FIN,16,18,1540,1644,2434.885255,31,29,852357.4375,916697.4375,4,4,0.882867,0.770588,61.738695,1.436303,255,889813067,895873065,255,0.000563,0.000449,0.000114,96,91,0,0,7,0,8,6,1,6,0,0,0,8,14,0,0
20,33391,175300,0.996503,tcp,pop3,FIN,20,30,942,16684,49.171955,62,252,7185.126465,129476.7813,7,13,52.447526,33.93738,3005.256004,2479.497222,255,5604755,575257391,255,0.044995,0.007366,0.037629,47,556,0,0,1,1,1,1,1,1,0,0,0,7,1,0,1
38,5033,5034,0.003877,tcp,http,FIN,8,10,1052,824,4384.833689,31,29,1900438.5,1531080.75,2,2,0.504857,0.373111,32.262024,0.667865,255,3099394966,950818452,255,0.000646,0.000515,0.000131,132,82,1,83,2,0,4,1,1,1,0,0,1,10,2,0,0
45,10484,174742,1.10736,tcp,noservice,FIN,10,8,564,354,15.351828,254,252,3669.989746,2239.560791,2,1,121.669556,148.572578,7936.809952,224.948484,255,939576673,1187443773,255,0.173719,0.067351,0.106368,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
52,1123,172441,9E-06,udp,noservice,INT,2,0,170,0,111111.1072,254,0,75555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,85,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,1
49,10488,175126,0.653375,tcp,noservice,FIN,10,8,564,354,26.018748,254,252,6220.01123,3795.676025,2,1,70.986667,89.14157,5392.277592,133.977047,255,2253863811,2106263381,255,0.052156,0.029376,0.02278,56,44,0,0,1,1,1,1,1,1,0,0,0,18,1,0,1
41,5036,5037,0.051641,tcp,noservice,FIN,68,70,4014,59460,2652.930884,31,29,612691.5,9079762,7,28,0.765836,0.731435,48.304406,45.635477,255,2223598257,2237622775,255,0.001311,0.001169,0.000142,59,849,0,0,4,0,2,1,1,1,0,0,0,5,2,0,0
